,,Unnamed: 0,song,album,lyrics
34,34,34,Nonstop,,"[Intro: Lil Juice]
Tay Keith, fuck these niggas up!
[Verse 1: Drake]
Look, I just flipped a switch (Flipped, flipped)
I don't know nobody else that's doin' this
Bodies start to drop, ayy (Hit the floor)
Now they wanna know me since I hit the top, ayy
This a Rollie, not a stopwatch, shit don't ever stop
This the flow that got the block hot, shit got super hot, ayy
Give me my respect (Give me my respect)
I just took it left like I'm ambidex'
Bitch, I move through London with the Eurostep (Two)
Got a sneaker deal and I ain't break a sweat
Catch me 'cause I'm gone (Outta there, I’m gone)
How I go from 6 to 23 like I'm LeBron?
Servin' up a pack (Servin' up a pack)
Niggas pullin' gimmicks 'cause they scared to rap, ayy
Funny how they shook, ayy, got these niggas shook
Pullin' back the curtain by myself, take a look, ayy
I'm a bar spitta, I’m a hard hitta
Yeah I’m light-skinned, but I'm still a dark nigga
I'm a wig splitta, I'm a tall figure
I'm a unforgivin' wild-ass dog nigga
Somethin' wrong with 'em, got 'em all bitter
I'm a bill printer, I'm a gravedigger
Yeah, I am what I am
I don't have no time for no misunderstandings again
[Chorus: Mack Daddy Ju & Drake]
My head is spinnin', from smokin' the chicken, the bass is kickin'
My head is spinnin', from smokin' the chicken, the bass is kickin'
My head is spinnin', from smokin' the chicken, the bass is kickin'
My head is spinnin'
This a Rollie, not a stopwatch, shit don't ever stop
From smokin' the chicken, the bass is kickin'
My head is spinnin', from smokin' the chicken, the bass is kickin'
My head is spinnin', from smokin' the chicken, the bass is kickin'
My head is spinnin', from smokin' the chicken, the bass is kickin'
My head is–
[Verse 2: Drake]
Future took the business and ran it for me
I let Ollie take the owl, told him brand it for me
I get 2 million a pop and that’s standard for me
Like I went blind, dog, you gotta hand it to me
(Gotta gimme that shit, dog)
Prayed, then I prayed again (Amen, Lord)
Had a moment but it came and went
(They don't love you no more)
You don’t wanna play with him (Nah, nah, nah)
They’ll be mournin' you like 8AM (R.I.P.)
Pinky ring 'til I get a wedding ring (Whoa, yeah)
Love my brothers, cut 'em in on anything (Big slice)
And you know it's King Slime Drizzy, damn (Woo yeah)
She just said I'm bae, I hit the thizzle dance (Mac Dre shit)
Either hand is the upper hand (Oh yeah, shit)
Got a bubba on my other hand (Whoa, yeah, shit, yeah)
This shit ain't no hundred bands (Nah, nah, nah, nah)
Palace look like Buckingham
Bills so big, I call 'em Williams, for real
Reasons to go crazy, got a trillion, for real
They been tryin' me but I'm resilient, for real
I can’t go in public like civilian, for real
And I hardly take offense
Money for revenge, man, that’s hardly an expense
Al Haymon checks off of all of my events
I like all the profit, man, I hardly do percents (I don't do that shit)
A big part of me resents
Niggas that I knew from when I started in this shit
They see what I got and, man, it's hard to be content
Fuck what they got goin' on, I gotta represent (Ayy!)
[Chorus: Mack Daddy Ju & Drake]
My head is spinnin', from smokin' the chicken, the bass is kickin'
My head is spinnin', from smokin' the chicken, the bass is kickin'
My head is spinnin', from smokin' the chicken, the bass is kickin'
My head is spinnin'
This a Rollie, not a stopwatch, shit don't ever stop
From smokin' the chicken, the bass is kickin'
My head is spinnin', from smokin' the chicken, the bass is kickin'
My head is spinnin', from smokin' the chicken, the bass is kickin'
My head is spinnin'
This the flow that got the block hot, shit got super hot"
35,35,35,Gyalchester,,"Hermès link, ice-blue mink
Tat on my ribs like I do not know what permanent is
They want me gone, wait for the kicker
Bury me now and I only get bigger
That's word to my nigga
Yeah, October Firm in the cut
Stay at the top like I'm stuck
That's just how I'm givin' it up
She wanna get married tonight
But I can't take a knee, 'cause I'm wearin' all white
Me and my broski are twins, but we don't look alike
I don't take naps
Me and the money are way too attached to go and do that
Muscle relax
That and the spliff put me right on my back, I gotta unpack
Virginia Black
I could go make enough money off that and not even rap
What's that? Facts?
Contract max, I gotta bring that shit back
Hermès link, ice-blue mink
Tat on my ribs like I do not know what permanent is
They want me gone, out of the picture
Bury me now and I only get bigger
That's word to my, word to my—
I'm so hot, yeah, I’m so right now
Who's not gang, bitch? Let me find out
Keep hearin' clicks when I'm talkin' on the iPhone
Feds in the city hate to see us on a high note
I switch flow like I switch time zone
Can't get Nobu, but you can get Milestone
I got a new mansion, 'cause I outgrew the condo
Gotta do Maybach, she wanna fuck on the drive home
Yeah, met her once and I got through
I'm never washed, but I'm not new
I know I said top five, but I'm top two
And I'm not two and I got one
Thought you had one, but it's not one, nigga, nah
Hermès link, ice-blue mink
Tat on my ribs like I do not know what permanent is
They want me gone, wait for the kicker
Bury me now and I only get bigger
That's word to my nigga"
36,36,36,Own It,,"[Produced by Noah ""40"" Shebib & PARTYNEXTDOOR]
[Intro: PARTYNEXTDOOR]
Own it
It's yours
It's yours
[Verse 1: Drake]
Yours... You're still the one that I adore
Ain't much out there to have feelings for
Guess whose it is? Guess whose it is?
Guess whose it is? Guess whose it is? Yours
A few bottles on the table, a few waters
It ain't a secret, baby, everybody saw us
Guess whose it is? Guess whose it is?
Guess whose it is? It's yours
Next time we fuck, I don't wanna fuck, I wanna make love
Next time we talk, I don't wanna just talk, I wanna trust
Next time I stand tall, I wanna be standin' for you
And next time I spend I want it all to be for you
Peakin', I'm peakin'
Wake up with me this weekend, we can, oh
Guess whose it is? Guess whose it is?
Guess whose it is? It's yours
[Hook: PARTYNEXTDOOR]
Own it, own it, own it, own it, own it, own it, own it, own it
Own it, own it, own it, own it, own it, own it, own it, I said
Go own that shit, own that shit, own that shit, own that shit
Go and own that shit, own that shit, own that shit, you own that shit, go and
Own it, own it, own it, own it, own it, own it, own it, own it
Own it, own it, own it, own it, own it, own it, own it, I said
Go own that shit, own that shit, own that shit, own that shit
Go and own that shit, own that shit, own that shit, you own that shit, go and
[Verse 2: Drake]
Niggas talk more than bitches these days
Just let that shit sink in, ha!
Niggas talk more than bitches these days
Who could get the pussy quicker these days
Still straight with the weed and the liquor these days
Cause the new drugs got the kids trippin' these days
Bunch of journalists been searchin' for a story
My ex-girl been searchin' for a ""sorry""
Couple bitches tryna have me on the Maury
Like nigga it's yours, you should be supportin'
But where you been at? On tour, gettin' money
Y'all don't even really check for me
You ain't even hit me when that nigga had threats for me, girl
You don't love me, you just say that shit to get to me, girl
Cause you got the Batphone and my workline, you should call
When the last time you did somethin' for the first time?
You done done it all
I swear to God, niggas talk more than bitches these days
Got you thinkin' that I'm different these days
Broken telephone for every single conversation
By the time it gets to you, shit switches these days
It's yours, it's yours, it's yours, it's... it's always gonna be yours
[Outro: PARTYNEXTDOOR]
Own it, own it, own it, own it, own it, own it, own it, own it
Own it, own it, own it, own it, own it, own it, own it, I said
Go own that shit, it's yours, it's yours, own it, own it, own it, own it
Own it, baby, own it, it's yours, own that shit, own that shit, own that shit"
37,37,37,U With Me?,,"[Intro: DMX]
What these bitches want from a nigga?
[Verse 1: Drake]
On some DMX shit
I group DM my exes
I tell 'em they belong to me, that goes on for forever
And I think we just get closer when we not together
You tell me that I'm confusin'
More immature than Marques Houston
Cuts too deep for a band-aid solution
We too deep in this thing, you'll never lose me
LOLOL, I'm glad you find this shit amusin'
Heard a lot about me 'fore we started off
I know you heard that my pool parties like Mardi Gras
I know you heard that my girl is sponsored by Audemars
That's why she always correctin' me when my time is off
And my house is the definition
Of alcohol and weed addiction
You got a different vision
You wanna walk around naked in the kitchen
Without runnin' into one of my niggas
That's not the way we livin'
Too much goin' on, it's just not realistic
These days I don't talk 'bout them days like I miss 'em
And you shouldn't miss 'em either, we different people
But every time we speakin'
[Chorus: Drake]
It's like a lot of games bein' played
How's it goin' down?
If it's on 'til we gone, then I gots to know now
Is you wit' me or what?
Yeah
It's like a lot of games are bein' played
How's it goin' down?
If it's on 'til we gone, then I gots to know now
Is you wit' me or what?
Yeah
[Verse 2: Drake]
I wanna know how much time you spent on them paragraphs
Where you're getting me
All that grey in our conversation history, you
Playin' mind games, when you sayin' things
Playin' mime games, we both doin' the same thing
Slide on a late night
You like to slide on a late night
You send the ""Are you here?"" text without an invite
That's that shit that I don't like
We both slide on a late night
Do things in our off time
We both, yeah
Made some mistakes, pon road
Yeah, how's that for real?
You toyin' with it like Happy Meal
3 dots, you thinkin' of a reaction still
While you're typin', make sure you tell me
[Chorus: Drake]
What type of games are bein' played?
How's it goin' down?
If it's on 'til we gone, then I gots to know now
Is you wit' me or what?
Yeah
What type of games are bein' played?
How's it goin' down?
If it's on 'til we gone, then I gots to know now
Is you wit' me or what?
Yeah
[Verse 3: Drake]
Yeah, remember you was livin' at The London for a month
Service elevator up to 4201
We was still a secret, couldn't come in through the front
Girl, I had your back when all you used to do was front
That's for sure though, I made a career off reminiscin'
Time got a funny way of tickin', things are so much different
I'll admit it, I've admitted to a lot of things
Act like you know it, fuck them stories, fuck the shade they throwin'
Understand I got responsibilities to people that I need
And on my way to make this dough
A lot of niggas cut the check so they can take this flow
A lot of niggas cut the check so they can take this flow
Ohhh, ohhh
Tryna give your ass the world
You runnin' your fingers through my curls
You knew me when the kid had waves
But that's enough of that
You could never say I came up and forgot about your ass
And that's some real shit"
38,38,38,Headlines,,"[Produced by Boi-1da and Noah ""40"" Shebib]
I might be too strung out on compliments
Overdosed on confidence
Started not to give a fuck and stopped fearin' the consequence
Drinkin' every night because we drink to my accomplishments
Faded way too long, I'm floatin' in and out of consciousness
And they sayin' I'm back, I'd agree with that
I just take my time with all this shit, I still believe in that
I had someone tell me I fell off, ooh, I needed that
And they want to see me pick back up, well, where'd I leave it at?
I know I exaggerated things, now I got it like that
Tuck my napkin in my shirt ‘cause I'm just mobbin' like that
You know good and well that you don't want a problem like that
You gon' make someone around me catch a body like that
No, don't do it (Ayy), please don't do it (Ayy)
‘Cause one of us goes in, and we all go through it (Ayy)
And Drizzy got the money, so Drizzy gonna pay it
Those my brothers, I ain't even gotta say it
That's just something they know
They know, they know, they know (They know, ayy)
They know, they know, they know
They know, they know, they know
Yeah, they know, yeah
That the real is on the rise
Fuck them other guys
I even gave 'em a chance to decide
Now it's something they know
They know, they know, they know
Yeah!
I be yellin' out, ""Money over everything! Money on my mind!""
Then she wanna ask when it got so empty
Tell her I apologize, happened over time
She says, ""They miss the old Drake"", girl don't tempt me
""If they don't get it, they'll be over you
That new shit that you got is overdue
You better do what you supposed to do""
I'm like, ""Why I gotta be all that?""
But still I can't deny the fact that it's true
Listening to you expressin' all them feelings
Soap opera rappers, all these niggas sound like All My Children
And that's who you thinkin' is 'bout to come and make a killin'
I guess it really is just me, myself and all my millions
You know that they ain't even got it like that
You gon' hype me up and make me catch a body like that
‘Cause I live for this, it isn't just a hobby like that
When they get my shit and play it
I ain't even gotta say it, they know
They know, they know, they know (They know)
They know, they know, they know
They know, they know, they know
Yeah, they know, yeah
That the real is on the rise
Fuck them other guys
I even gave 'em a chance to decide
Now it's something they know
They know, they know, they know
I be yelling out ""Money over everything!""
""Money on my mind, mind, mind-mind!""
Tell them I apologize, it happened over time, time, time-time
They know
They know, they know, they know
They know, they know, they know
They know, they know, they know
Yeah…
I heard once that they would rather hear about memories than enemies
Rather hear what was or will be than what is
Rather hear how you got it over, how much it cost you
Rather hear about findin' yourself than how you lost you
Rather you make this an open letter
About family and struggle and it takin' forever
About hearts that you’ve broken and ties that you’ve severed
No doubt in my mind, that’ll make them feel better"
39,39,39,Fire & Desire,,"Dedicate, I dedicate the world
Yeah, oh
I dedicate, I dedicate
I give you my fortune
I dedicate, I dedicate
I dedicate, I dedicate
I dedicate, I dedicate
I dedicate, dedicate, dedicate
I dedicate to you
I dedicate, I dedicate
I dedicate, I dedicate, oh yeah
I dedicate, I dedicate to you
They throwin' dirt on my old name
Only gets worse when you know things
You don't see the perks of this whole thing
But you get real on a pill and I like it
You just like my sidekick, I just wanna wife
Fulfill all your desires
Keep you in the front, never in the back
And never on the side, yeah
You a real ass woman and I like it
I don't wanna fight it
Look, you know I'm a rider, nothin' left to hide
Your other nigga tired
Talk about you like you never leave his side
But I don't really buy it
Me I'm movin' quiet, all the things we're tryin'
Let's just keep it private (Don't say anything)
Tell me should I cut these other girls right out of my life?
Cause we never decided
Tell me how you feel inside
You a real ass woman and I like it, yeah
Dedicate to you
I need you inspired, I need you excited
I don't wanna fight it
Yeah, I figure out you, you figure out me
We both a different breed
I'm followin' your lead, I ask you what you need
You say, ""A guarantee""
I mean, you say that like it's easy
You never believe me
Told you I got Zs for these other girls sleepin' on 'em
Girl, I'm sleepy
Sometimes I'm so indecisive
But you a real ass woman and I like it
I don't wanna fight it
I give you my fortune
I dedicate, I dedicate
I dedicate, I dedicate
I dedicate, dedicate, dedicate
I dedicate to you
I dedicate, I dedicate
This song's for you
I dedicate, I dedicate
I give you my voice
This song's for you"
40,40,40,Doing It Wrong,,"When a good thing goes bad it's not the end of the world
It's just the end of a world that you had with one girl
And she's the reason it happened, but she's overreacting
And it's all because she don't want things to change
So cry if you need to, but I can't stay to watch you
That's the wrong thing to do
Touch if you need to, but I can't stay to hold you
That's the wrong thing to do
Talk if you need to, but I can't stay to hear you
That's the wrong thing to do
Cause you'll say you love me, and I'll end up lying
And say I love you, too
But I need someone different
You know it, oh ho, you know it
Oh ho, you know it, we both know it
I need someone different
You know it, oh ho, you know it
Oh ho, you know it, we both know it
Something's been missing
You know it, oh ho, she knows it
Oh ho, I know it, we all know it
I need someone different
(Oh ho, oh ho)
We live in a generation of not being in love
And not being together
But we sure make it feel like we're together
Because we're scared to see each other with somebody else
So cry if you need to, but I can't stay to watch you
That's the wrong thing to do
Touch if you need to, but I can't stay to hold you
That's the wrong thing to do
Talk if you need to, but I can't stay to hear you
That's the wrong thing to do
Cause you'll say you love me, and I'll end up lying
And say I love you, too
But I need someone different
You know it, oh ho, you know it
Oh ho, you know it, we both know it
I need someone different
You know it, oh ho, you know it
Oh ho, you know it, we both know it
Something's been missing
You know it, oh ho, she knows it
Oh ho, I know it, we all know it
I need someone different
(Oh ho, oh ho)
[Outro: Stevie Wonder on Harmonica]"
41,41,41,Crew Love,,"[Verse 1: The Weeknd]
Take your nose off my keyboard
What you bothering me for?
There's a room full of niggas
What you following me for?
This ain't no fucking sing-along
So, girl, what you singing for?
It's cause we blowing like a C4
Got my whole crew blowing like a C4
20, keep the bar rolling
Fake ID's in the trash, we going
Straight to the top, rooftop glows
With a hand full of girls and they all so foreign
Brain so poisoned, rainbows flowing
Light-skinned chick, first flight from Poland
A whole lotta friends, first flight from Poland
A whole lotta cash coming straight from Poland, why? Cause
[Chorus: The Weeknd]
They loving the crew
They loving the crew
They loving this crew
Oh, they loving the crew
Oh, they loving the crew
They loving this crew
They loving the crew
They loving the crew
[Verse 2: Drake]
Yeah
Smoking weed under star projectors
I guess we'll never know what Harvard gets us
But seeing my family have it all
Took the place of that desire for diplomas on the wall
And really, I think I like who I'm becoming
There's times where I might do it just to do it like it's nothing
There's times when I might blow like 50k on a vacation
For all my soldiers just to see the looks on all they faces
All it took was patience
I got a lotta friends to come up off the strip for me
The same ones that'll come up off the hip for me
The realest niggas say your lyrics do shit for me
I told my story, and made history
Tell them I'ma need reservations for 20
I've never really been one for the preservation of money, nah
Much rather spend it all while I'm breathing
That OVO and that XO is everything you believe in, I know
[Chorus: The Weeknd]
They loving the crew
Oh, they loving the crew
Oh, they loving the crew
Loving the crew, oh
Oh, they loving the crew
They loving the crew
They loving the crew
They loving the crew
Whoa
[Outro: The Weeknd]
Cause we blowing like a C4
Got my whole crew blowing like a C4
(If you broadcast swag, nigga, we the news in your city)"
42,42,42,Wu-Tang Forever,,"[Produced by Noah ""40"" Shebib]
I just love when I'm with you, yeah, this shit is on ten
We used to be friends, girl, and even back then
You would look at me with no hesitation and you'd tell me baby, it's yours
Nobody else's, yeah, this shit belong to nobody, it's yours
Nobody else's, yeah, this shit belong to nobody and that
What made me think about the game, girl
And how I switched it up with a new thing
Young nigga came through on his Wu-Tang
And nowadays when I ask about who got it, they say it's yours
Nobody else's, yeah, this shit belong to nobody, it's yours
Nobody else's, yeah, this shit belong to nobody, it's yours
It's yours, it's yours, it's yours that's for sure, that's for sure (yeah)
It's yours, it's yours, it's yours, it's yours that's for sure, that's for sure
How you feel about comin' home with a nigga for the night?
If you nervous, hit the lights, I know we only fuckin' out of spite
Cause your man don't do you right, do you right, I could fuck you so good
Then I hit you with the 9 a.m. in Dallas who you like, baby, who you like?
Machine gun raps for all my niggas in the back
Stadium packed, just glad to see the city on the map
I just gave the city life, it ain't about who did it first
It's 'bout who did it right, niggas looking like ""Preach""
Open cases on me for a half a million each
I find peace knowing that it's harder in the streets, I know
Luckily I didn't have to grow there
I would only go there cause niggas that I know there
I don't know what's getting into me, I just like the rush
When you see your enemy somewhere in the club and you realize
He just not in a position to reciprocate your energy
You ain't ever worried cause he's not who he pretends to be
People like Mazin who was a best friend to me
Start to become a distant memory, things change in that life
And this life started lacking synergy
And fuckin' with me mentally, I think it's meant to be
Yeah, paranoid, always rolling with my mothafuckin' boys
But you gotta understand when it's yours
They don't really leave your ass with a mothafuckin' choice, man
I just love when I'm with you, yeah, this shit is on ten
We used to be friends, girl, and even back then
You would look at me with no hesitation and you'd tell me baby, it's yours
Nobody else's, yeah, this shit belong to nobody, it's yours
Nobody else's, yeah, this shit belong to nobody and that
What made me think about the game, girl
And how I switched it up with a new thing
Young nigga came through on his Wu-Tang
And nowadays when I ask about who got it, they say it's yours
Nobody else's, yeah, this shit belong to nobody, it's yours
Nobody else's, yeah, this shit belong to nobody, it's yours
It's yours, it's yours, it's yours that's for sure, that's for sure
It's yours, it's yours, it's yours that's for sure, that's for sure"
43,43,43,Look What You’ve Done,,"[Produced by Chase N. Cashe and Noah ""40"" Shebib]
It’s like ’09 in your basement
And I’m in love with Nebby
And I still love her but it fell through because I wasn’t ready
And your back hurt and your neck hurt
And you smoking heavy
And I sit next to you and I lecture you
Because those are deadly
And then you ash it and we argue
About spending money on bullshit
And you tell me I’m just like my father
My one button, you push it
Now it's, ""Fuck you, I hate you, I'll move out in a heartbeat!""
And I leave out and you call me, you tell me that you sorry
You love me and I love you
And your heart hurts, mine does too
And it's just words and they cut deep
But it's our world, it's just us two
I see painkillers on the kitchen counter
I hate to see it all hurt so bad
But maybe I wouldn't have worked this hard
If you were healthy and it weren't so bad
Uh, maybe I should walk up the street
And try and get a job at the bank
Cause leave it up to me, J, and Neeks
We'll probably end up robbing the bank
Then Wayne calls up my phone
Conversation wasn't that long
Gets me a flight to Houston in the morning
Oh it's my time, yeah, it's on
He's thinking of signing me, I come home
We make a mixtape with 17 songs
And almost get a Grammy off of that thing
They love your son—man, that boy gone
You get the operation you dreamed of
And I finally send you to Rome
I get to make good on my promise
It all worked out, girl, we shoulda known
Cause you deserve it
Is this shit real? Should I pinch you?
After all the things that we been through, I got you
Look what you've done, look what you've done
Look what you've done for me now
You knew that I was gonna be something
When you're stressed out and you need something, I got you
Look what you've done, look what you've done
It's like '06 in your backyard
I'm in love with Jade
And I'm still in love, 'cause when it's that real
Is when it doesn't fade
And my father living in Memphis now, he can't come this way
Over some minor charges and child support
That just wasn't paid, damn
Boo-hoo, sad story—black American dad story
Know that I'm your sister's kid
But it still don't explain the love that you have for me
I remember sneaking in your pool after school dances
Damn, your house felt like the Hamptons
For all of my summer romances
I never really had no one like you man this all-new, shit
Made the world I know bigger
Changed the way that I viewed it
Had all this fighting going on at the crib
You would calm me down when I lose it
Told you I think I'm done acting
I'm more in touch with the music
You said, either way, I'll be a star, I could go so far
Talked to me, you got to me
Then you’d toss the keys and loan me your car
Yeah, just a young kid in a drop top
Lexus hopin' that I don't get arrested
Just another kid that's going through life
So worried that I won't be accepted
But I could do anything, you said that, and you meant that
You took me places, you spent that
They said no, we went back
Checks bounced but we bounced back
I put all the money in your accounts back
And I thank you, I don't know where
I'd really be without that, it worked out
Man, you deserve it
Is this shit real? Should I pinch you?
After all the things that we been through, I got you
Look what you've done, look what you've done
Look what you've done for me now
You knew that I was gonna be something
When you're stressed out and you need something, I got you
Look what you've done, look what you've done
[Outro: Drake's Grandmother]
Hi Aubrey, I'm here sitting with my son having a little talk—and he knows how to get in touch with you now, to let you know how grateful I am for your help in keeping me in this—in this comfortable place. All I can say, Aubrey, is I remember the good times we had together, and the times I used to look after you. And I still have wonderful feelings about that. So God bless you, and I hope I'll see you..."
44,44,44,I’m Upset,,"Yeah
I'm workin' on dyin'
I'm upset
Fifty thousand on my head, it's disrespect
So offended that I had to double check
I'ma always take the money over sex
That's why they need me out the way, what you expect?
Got a lot of blood and it's cold
They keep tryna get me for my soul
Thankful for the women that I know
Can't go fifty-fifty with no ho
Every month
I'm supposed to pay her bills and get her what she want
I still got like seven years of doin' what I want
My dad still got child support from 1991 (One, one, one)
Outta town, people love to pop a lot of shit then come around
Word to Flacko Jodye, he done seen us put it down
Niggas askin' if I'm cool
I'm upset ('Set, 'set)
Hunnid thousand on my head, it's disrespect (Disrespect)
So offended that I had to double check
You tryna check?
This is real life, niggas think we playin' chess
So what's next?
Jump up out the bed like I'm possessed
I go out on tour and I say I'm drinkin' less
End up gettin' loose and gettin' pictures from my ex (Ex, ex, ex, ex)
SMS, triple X
That's the only time I ever shoot below the neck (Skrr)
Why you keep on shootin' if you know that nigga dead? (Skrr)
That's the only kind of shit that gets you some respect
Got a lot of blood and it's cold
They keep tryna get me for my soul (For my soul)
Thankful for the women that I know
Can't go fifty-fifty with no ho (Ayy, ayy)
Every month
She don't even love me, she just puttin' on a front (Front)
She gon' try and settle outta court and make a run
Then gon' ask me how I'm doin'?
I'm upset ('Set, 'set)
Half a million on my head I can accept, yeah
'Least it makes me feel like someone tried their best, yeah
Want to waste a half a million, be my guest
Made me wanna buy a vest and a TEC (Skrr)
But I'm blessed, I just checked (Checked, checked)
Hate me, never met me in the flesh (Flesh)
Said she's got some things she gotta come here and collect
That shit is in a box to the left, to the left (Left, left, left)
Got a lot of blood and it's cold
They keep tryna get me for my soul (For my soul)
Thankful for the women that I know (That I know)
Can't go fifty-fifty with no ho"
45,45,45,The Motion,,"[Intro: Drake & Sampha]
It's not me and you, it's not me it's you
You're reckless and you know it, they don't love you like I do
Say you're moving on, well, I guess that's just the motion
I guess that's just the motion
Oh-oh, I guess that's just the motion
Oh-oh, I guess that's just the motion
Oh-oh, I guess that's just the motion
[Verse 1: Drake]
I don't have a fuck to give, I've been moving state to state
In my leather and my Timbs like it's 1998
And my dog Chubby Chub, that's my nigga from the way
On the Eastside of the city, that's where everybody stay
Seem like everybody calling 'cause they want me on their song
It's like every time I touch it I could never do no wrong
When they need a favor from you, man, they don't leave you alone
But I guess that's just the motion, yeah
[Chorus 1: Drake, Drake & Sampha, Sampha]
Then that phone doesn't ring
When they got everything, that's the motion
Oh-oh, I guess that's just the motion
(Ooh, ooh, ooh, ooh, ooh, ooh)
Oh-oh, I guess that's just the motion
(Ooh, ooh, ooh, ooh, ooh, ooh)
[Verse 2: Drake]
Yeah, looking back on it, at least my pride is intact
'Cause we said ""no strings attached"" and I still got tied up in that
Everything that I write is either for her or about her
So I'm with her even when I'm here without her and she know it
The girl that I wanna save is like a danger to my health
Try being with somebody that wanna be somebody else
I always thought she was perfect when she was being herself
Don't even know how to help, but I guess that's just the motion, yeah
[Chorus 2: Drake, Drake & Sampha]
She'll probably come around
Soon as I settle down, that's the motion
Oh-oh, I guess that's just the motion
Oh-oh, I guess that's just the motion
Oh-oh, I guess that's just the motion
[Outro: Drake, Sampha]
Nothing less and nothing more
I hear your heart hit the floor
I guess that's just the motion
Talking to you is not enough, no
I guess that’s just the motion
Oh-oh, I guess that's just the motion
I guess that's just the motion
Oh-oh, I guess that's just the motion
Oh-oh, I guess that's just the motion
Oh-oh, I guess that's just the motion
Yeah"
46,46,46,Teenage Fever,,"[Verse 1: Drake]
Your heart is hard to carry after dark
You're to blame for what we could have been
'Cause look at what we are
Your friends are scared to tell you, you went too far
Funny that it's always been all about you from the start
I met someone new last night and we kicked it
And I'm going back there tonight
And you know what's on my mind, this time
Going back there tonight
And you know what's on my mind so
[Chorus: Jennifer Lopez]
If you had my love
And I gave you all my trust
Would you comfort me?
And if somehow you knew
That your love would be untrue
Would you lie to me?
If you had my love
And I gave you all my trust
Would you comfort me?
And if somehow you knew
That your love would be untrue
Would you lie to me?
[Verse 2: Drake]
Out of body
That's just how I feel when I'm around you, shawty
Last night we didn't say it
But girl, we both thought it
Why second guess? I should have stayed
You say the word, I'm on the way
This shit feels like teenage fever
I'm not scared of it, she ain't either
Why second guess? I should have stayed
'Cause you know what's on my mind so
[Chorus: Jennifer Lopez]
If you had my love
And I gave you all my trust
Would you comfort me?
And if somehow you knew
That your love would be untrue
Would you lie to me?
If you had my love
And I gave you all my trust
Would you comfort me?
And if somehow you knew
That your love would be untrue
Would you lie to me?
[Outro: Dave]
Yeah, slightly took a left turn there
But very much 6AM
Slightly been awake for 24 hours, so please forgive me
More ideas and stuff comin'
Yeah, yeah, fam
I'm wafflin', but man is tired, fam, Jesus Christ"
47,47,47,Take Care,,"[Chorus: Rihanna]
I know you've been hurt by someone else
I can tell by the way you carry yourself
If you let me, here's what I'll do
I'll take care of you
I've loved and I've lost
[Verse 1: Drake]
I've asked about you and they told me things
But my mind didn't change and I still feel the same
What's a life with no fun? Please, don't be so ashamed
I've had mine, you've had yours, we both know.. we know
They won't get you like I will, my only wish is I die real
'Cause that truth hurts and those lies heal
And you can't sleep thinking that he lies still
So you cry still, tears all on the pillowcase
Big girls all get a little taste, ah
Pushing me away so I give her space, ah
Dealing with a heart that I didn't break
I'll be there for you, I will care for you
I keep thinking you just don't know
Tryna run from that, say you done with that
On your face, girl, it just don't show
When you're ready, just say you're ready
When all the baggage just ain't as heavy
And the party's over, just don't forget me
We'll change the pace and we'll just go slow
You won't ever have to worry, you won't ever have to hide
You've seen all my mistakes so look me in my eyes
[Chorus: Rihanna]
'Cause if you let me
Here is what I'll do
I'll take care of you
I've loved and I've lost
[Verse 2: Drake]
It's my birthday, I'll get high if I want to
Can't deny that I want you but I'll lie if I have to
Cause you don't say you love me
To your friends when they ask you
Even though we both know that you do, you do
One time, been in love one time
You and all your girls in the club one time
All so convinced that you're following your heart
'Cause your mind don't control what it does sometimes
We all have our nights, though, don't be so ashamed
I've had mine, you've had yours, we both know, we know
You hate being alone well you ain't the only one
You hate the fact that you bought the dream
And they sold you one
You love your friends, but somebody should've told you some
To save you; instead, they say:
[Interlude: Gil Scott-Heron]
Don't tell me, I don't care
If you hurt, I don't tell you
You don't care, if you're true
Don't tell me, I don't care
If you hurt, I don't tell you
You don't care, if you're true
[Chorus: Rihanna]
I know you've been hurt by someone else
I can tell by the way you carry yourself
If you let me, here's what I'll do
I'll take care of you
I've loved and I've lost"
