,,Unnamed: 0,song,album,lyrics
27,27,27,Boots of Spanish Leather,,"Oh, I’m sailin' away my own true love
I’m a-sailin' away in the morning
Is there somethin' I can send you from across the sea
From the place that I’ll be landing?
No, there’s nothin' you can send me, my own true love
There’s nothin' Im'a wishing to be ownin'
Just a-carry yourself back to me unspoiled
From across that lonesome ocean
Ah, but I just thought you might want somethin' fine
Made of silver or of golden
Either from the mountains of Madrid
Or from the coast of Barcelona
Well, if I had the stars from the darkest night
And the diamonds from the deepest ocean
I’d forsake them all for your sweet kiss
For that’s all I’m a-wishin' to be ownin'
Well I might be gone a long old time
And it’s only that I’m asking
Is there somethin' I can send you to remember me by
To make your time more easy passing
Oh, how can, how can you ask me again
It only brings me sorrow
The same thing I would want today
I want again tomorrow
I got a letter on a lonesome day
It was from her ship a-sailin'
Sayin' I don’t know when I’ll be comin' back again
It depends on how I’m a-feelin'
If a-you, my love, must think that-a-way
I’m sure your mind is a-roamin'
I’m sure your thoughts are not with me
But with the country to where you’re goin'
So take heed, take heed of the western winds
Take heed of the stormy weather
And yes, there’s somethin' you can send back to me
Spanish boots of Spanish leather"
28,28,28,It Ain’t Me Babe,,"Go away from my window
Leave at your own chosen speed
I’m not the one you want, babe
I’m not the one you need
You say you're looking for someone
Who's never weak but always strong
To protect you and defend you
Whether you are right or wrong
Someone to open each and every door
But it ain't me, babe
No, no, no, it ain't me, babe
It ain't me you’re looking for, babe
Go lightly from the ledge, babe
Go lightly on the ground
I’m not the one you want, babe
I will only let you down
You say you're looking for someone
Who will promise never to part
Someone to close his eyes for you
Someone to close his heart
Someone who will die for you and more
But it ain't me, babe
No, no, no, it ain't me, babe
It ain't me you’re looking for, babe
Go melt back in the night
Everything inside is made of stone
There's nothing in here moving
And anyway I'm not alone
You say you're lookin' for someone
Who'll pick you up each time you fall
To gather flowers constantly
And to come each time you call
A lover for your life and nothing more
But it ain't me, babe
No, no, no, it ain't me, babe
It ain't me you’re looking for, babe"
29,29,29,Simple Twist of Fate,,"They sat together in the park
As the evening sky grew dark
She looked at him and he felt a spark
Tingle to his bones
'Twas then he felt alone
And wished that he'd gone straight
And watched out for a simple twist of fate
They walked alone by the old canal
A little confused, I remember well
And stopped into a strange hotel
With a neon burning bright
He felt the heat of the night
Hit him like a freight train
Moving with a simple twist of fate
A saxophone someplace far-off played
As she was walking on by the arcade
As the light bust through a beat-up shade
Where he was wakin' up
She dropped a coin into the cup
Of a blind man at the gate
And forgot about a simple twist of fate
He woke up, the room was bare
He didn't see her anywhere
He told himself he didn't care
Pushed the window open wide
Felt an emptiness inside
To which he just could not relate
Brought on by a simple twist of fate
He hears the ticking of the clocks
And walks along with a parrot that talks
Hunts her down by the waterfront docks
Where the sailors all come in
Maybe she'll pick him out again
How long must he wait?
One more time, for a simple twist of fate
People tell me it's a sin
To know and feel too much within
I still believe she was my twin
But I lost the ring
She was born in spring
But I was born too late
Blame it on a simple twist of fate"
30,30,30,Highway 61 Revisited,,"Oh God said to Abraham, “Kill me a son”
Abe said, “Man, you must be puttin' me on”
God say, “No.”
Abe say, “What?”
God say, “You can do what you want, Abe, but
The next time you see me comin' you better run”
Well Abe says, “Where you want this killin' done?”
God says, “Out on Highway 61”
Well Georgia Sam he had a bloody nose
Welfare Department they wouldn’t give him no clothes
He asked poor Howard where can I go
Howard said there’s only one place I know
Sam said tell me quick man I got to run
Old Howard just pointed with his gun
And said ""That way, down Highway 61""
Well Mack the Finger said to Louie the King
I got forty red, white and blue shoestrings
And a thousand telephones that don’t ring
Do you know where I can get rid of these things?
And Louie the King said ""Let me think for a minute son""
And he said ""Yes, I think it can be easily done
Just take everything down to Highway 61""
Now the fifth daughter on the twelfth night
Told the first father that things weren’t right
""My complexion"" she says ""is much too white""
He said ""Come here and step into the light""
He says ""Hmm you’re right
Let me tell the second mother this has been done""
But the second mother was with the seventh son
And they were both out on Highway 61
Now the rovin' gambler he was very bored
Tryin' to create a next world war
He found a promoter who nearly fell off the floor
He said ""I never engaged in this kind of thing before
But yes I think it can be very easily done
We’ll just put some bleachers out in the sun
And have it on Highway 61"""
31,31,31,Rainy Day Women #12 & 35,,"Well, they'll stone you when you're tryin' to be so good
They'll stone you just like they said they would
They'll stone you when you're trying to go home
Then they'll stone you when you're there all alone
But I would not feel so all alone
Everybody must get stoned
Well, they'll stone you when you're walking on the street
They'll stone you when you're trying to keep your seat
They'll stone you when you're walking on the floor
They'll stone you when you're walking through the door
But I would not feel so all alone
Everybody must get stoned
They'll stone you when you're at the breakfast table
They'll stone you when you are young and able
They'll stone you when you're trying to make a buck
They'll stone you and then they'll say, ""Good luck""
Yeah, but I would not feel so all alone
Everybody must get stoned
Well, they'll stone you and say that that's the end
Then they'll stone you and then they'll come back again
They'll stone you when you're riding in your car
They'll stone you when you're playing your guitar
Yes, but I would not feel so all alone
Everybody must get stoned, alright
Well, they'll stone you when you are all alone
They'll stone you when you are walking home
They'll stone you and then say they're all brave
They'll stone you when you're sent down in your grave
But I would not feel so all alone
Everybody must get stoned"
32,32,32,Tombstone Blues,,"The sweet pretty things are in bed now of course
The city fathers they’re trying to endorse
The reincarnation of Paul Revere’s horse
But the town has no need to be nervous
The ghost of Belle Starr she hands down her wits
To Jezebel the nun she violently knits
A bald wig for Jack the Ripper who sits
At the head of the chamber of commerce
Mama’s in the factory
She ain't got no shoes
Daddy’s in the alley
He’s lookin' for food
I am in the kitchen
With the tombstone blues
The hysterical bride in the penny arcade
Screaming she moans, “I’ve just been made”
Then sends out for the doctor who pulls down the shade
And says, “My advice is to not let the boys in”
Now the medicine man comes and he shuffles inside
He walks with a swagger and he says to the bride
“Stop all this weeping, swallow your pride
You will not die, it’s not poison”
Mama’s in the factory
She ain't got no shoes
Daddy’s in the alley
He’s lookin' for food
I’m in the kitchen
With the tombstone blues
Well, John the Baptist, after torturing a thief
Looks up at his hero, the commander-in-chief
Saying, “Tell me, great hero, but please make it brief
Is there a hole for me to get sick in?”
The commander-in-chief answers him while chasing a fly
Saying, ""Death to all those who would whimper and cry""
And dropping a barbell, he points to the sky
Saying, ""The sun’s not yellow, it’s chicken""
Mama’s in the factory
She ain't got no shoes
Daddy’s in the alley
He’s lookin' for food
I am in the kitchen
With the tombstone blues
The king of the Philistines his soldiers to save
Puts jawbones on their tombstones and flatters their graves
Puts the pied pipers in prison and fattens the slaves
Then sends them out to the jungle
Gypsy Davey with a blowtorch he burns out their camps
With his faithful slave Pedro behind him he tramps
With a fantastic collection of stamps
To win friends and influence his uncle
Mama’s in the factory
She ain't got no shoes
Daddy’s in the alley
He’s lookin' for food
I’m in trouble
With the tombstone blues
The geometry of innocence, flesh on the bone
Causes Galileo’s math book to get thrown
At Delilah who's sitting worthlessly alone
But the tears on her cheeks are from laughter
Now I wish I could give Brother Bill his great thrill
I would set him in chains at the top of the hill
Then send out for some pillars and Cecil B. DeMille
He could die happily ever after
Mama’s in the factory
She ain't got no shoes
Daddy’s in the alley
He’s lookin' for food
I am in the kitchen
With the tombstone blues
Where Ma Rainey and Beethoven once unwrapped their bedroll
Tuba players now rehearse around the flagpole
And the National Bank at a profit sells road maps for the soul
To the old folks home and the college
Now I wish I could write you a melody so plain
That could hold you dear lady from going insane
That could ease you and cool you and cease the pain
Of your useless and pointless knowledge
Mama’s in the factory
She ain't got no shoes
Daddy’s in the alley
He’s lookin' for food
I am in the kitchen
With the tombstone blues"
33,33,33,I Want You,,"The guilty undertaker sighs
The lonesome organ grinder cries
The silver saxophones say I should refuse you
The cracked bells and washed-out horns
Blow into my face with scorn
But it’s not that way
I wasn’t born to lose you
I want you, I want you
I want you, so bad
Honey, I want you
The drunken politician leaps
Upon the street where mothers weep
And the saviors who are fast asleep, they wait for you
And I wait for them to interrupt
Me drinking from my broken cup
And ask me to
Open up the gate for you
I want you, I want you
Yes I want you, so bad
Honey, I want you
How my fathers, they’ve gone down
True love they’ve been without it
But all their daughters put me down
'Cause I don’t think about it
Well, I return to the Queen of Spades
And talk with my chambermaid
She knows that I’m not afraid to look at her
She is good to me
And there’s nothing she doesn’t see
She knows where I’d like to be
But it doesn’t matter
I want you, I want you
Yes I want you, so bad
Honey, I want you
Now your dancing child with his Chinese suit
He spoke to me, I took his flute
No, I wasn’t very cute to him, was I?
But I did it, because he lied
And because he took you for a ride
Uh because time was on his side
And because I
I want you, I want you
Yes I want you, so bad
Honey, I want you"
34,34,34,Forever Young (Slow Version),,"May God bless and keep you always
May your wishes all come true
May you always do for others
And let others do for you
May you build a ladder to the stars
And climb on every rung
May you stay forever young
Forever young, forever young
May you stay forever young
May you grow up to be righteous
May you grow up to be true
May you always know the truth
And see the lights surrounding you
May you always be courageous
Stand upright and be strong
May you stay forever young
Forever young, forever young
May you stay forever young
May your hands always be busy
May your feet always be swift
May you have a strong foundation
When the winds of changes shift
May your heart always be joyful
May your song always be sung
May you stay forever young
Forever young, forever young
May you stay forever young"
35,35,35,Stuck Inside of Mobile with the Memphis Blues Again,,"(Intro)
Oh, the ragman draws circles
Up and down the block
I’d ask him what the matter was
But I know that he don’t talk
And the ladies treat me kindly
And they furnish me with tape
But deep inside my heart
I know I can't escape
Oh, Mama, can this really be the end
To be stuck inside of Mobile
With the Memphis blues again
Well, Shakespeare, he’s in the alley
With his pointed shoes and his bells
Speaking to some French girl
Who says she knows me well
And I would send a message
To find out if she’s talked
But the post office has been stolen
And the mailbox is locked
Oh, Mama, can this really be the end
To be stuck inside of Mobile
With the Memphis blues again
Mona tried to tell me
To stay away from the train line
She said that all the railroad men
Just drink up your blood like wine
And I said, “Oh, I didn’t know that
But then again, there’s only one I’ve met
And he just smoked my eyelids
And punched my cigarette”
Oh, Mama, can this really be the end
To be stuck inside of Mobile
With the Memphis blues again
Grandpa died last week
And now he’s buried in the rocks
But everybody still talks about
How badly they were shocked
But me, I expected it to happen
I knew he’d lost control
When I, he built a fire on Main Street
And shot it full of holes
Oh, Mama, can this really be the end
To be stuck inside of Mobile
With the Memphis blues again
Now the senator came down here
Showing everyone his gun
Handing out free tickets
To the wedding of his son
And me, I nearly got busted
And wouldn’t it be my luck
To get caught without a ticket
And be discovered beneath a truck
Oh, Mama, is this really the end
To be stuck inside of Mobile
With the Memphis blues again
Now the tea preacher looked so baffled
When I asked him why he dressed
With twenty pounds of headlines
Stapled to his chest
But he cursed me when I proved to him
Then I whispered, said “Not even you can hide
You see, you’re just like me
I hope you’re satisfied”
Aw, Mama, can this really be the end
To be stuck inside of Mobile
With the Memphis blues again
Now the rainman gave me two cures
Then he said, “Jump right in”
The one was Texas medicine
The other was just railroad gin
And like a fool I mixed them
And it strangled up my mind
And now people just get uglier
And I have no sense of time
Oh, Mama, can this really be the end
To be stuck inside of Mobile
With the Memphis blues again
When Ruthie says come see her
In her honky-tonk lagoon
Where I can watch her waltz for free
’Neath her Panamanian moon
And I say, “Aw come on now
You know ya' know about my debutante”
And she says, “Your debutante just knows what you need
But I know what you want”
Oh, Mama, can this really be the end
To be stuck inside of Mobile
With the Memphis blues again
Now the bricks lay on Grand Street
Where the neon madmen climb
They all fall there so perfectly
It all seems so well timed
And here I sit so patiently
Waiting to find out what price
You have to pay to get out of
Going through all these things twice
Oh, Mama, is this really the end
To be stuck inside of Mobile
With the Memphis blues again"
36,36,36,Roll On John,,"Doctor, doctor tell me the time of day
Another bottle's empty, another penny spent
He turned around and he slowly walked away
They shot him in the back and down he went
Shine your light
Movin' on
You burned so bright
Roll on, John
From the Liverpool docks to the red-light Hamburg streets
Down in the quarry with the quarrymen
Playing to the big crowds, playing to the cheap seats
Another day in the life on your way to your journey's end
Sailin' through the trade winds bound for the South
Rags on your back just like any other slave
They tied your hands and they clamped your mouth
Wasn't no way out of that deep dark cave
I heard the news today, oh boy
They hauled your ship up on the shore
Now the city gone dark, there is no more joy
They tore the heart right out and cut him to the core
Put on your bags and get 'em packed
Leave right now, you won't be far from wrong
The sooner you go the quicker you'll be back
You've been cooped up on an island far too long
Slow down you're moving way too fast
Come together right now over me
Your bones are weary, you're about to breathe your last
Lord, you know how hard that it can be
Roll on, John, roll through the rain and snow
Take the right-hand road and go where the buffalo roam
They'll trap you in an ambush before you know
Too late now to sail back home
Tyger, tyger burning bright
I pray the Lord my soul to keep
In the forests of the night
Cover 'em over and let him sleep
[Chorus]"
37,37,37,Maggie’s Farm,,"I ain't gonna work on Maggie's farm no more
No, I ain't gonna work on Maggie's farm no more
Well, I wake up in the morning
Fold my hands and pray for rain
I got a head full of ideas
That are drivin' me insane
It's a shame the way she makes me scrub the floor
I ain't gonna work on Maggie's farm no more
I ain't gonna work for Maggie's brother no more
No, I ain't gonna work for Maggie's brother no more
Well, he hands you a nickel
He hands you a dime
He asks you with a grin
If you're having a good time
Then he fines you every time you slam the door
I ain't gonna work for Maggie's brother no more
I ain't gonna work for Maggie's Pa no more
No, I ain't gonna work for Maggie's Pa no more
Well, he puts his cigar
Out in your face just for kicks
His bedroom window
It is made out of bricks
The National Guard stands around his door
Ah, I ain't gonna work for Maggie's Pa no more
I ain't gonna work for Maggie's Ma no more
No, I ain't gonna work for Maggie's Ma no more
Well, she talks to all the servants
About man and God and law
Everybody says
She's the brains behind Pa
She's 68, but she says she's 54
I ain't gonna work for Maggie's Ma no more
I ain't gonna work on Maggie's farm no more
I ain't gonna work on Maggie's farm no more
Well, I try my best
To be just like I am
But everybody wants you
To be just like them
They say ""Sing while you slave"" and I just get bored
Ah, I ain't gonna work on Maggie's farm no more"
38,38,38,You Belong to Me,,"See the pyramids along the Nile
Watch the sun rise from a tropic isle
Just remember, darling, all the while
You belong to me
See the market place in old Algiers
Send me photographs and souvenirs
Just remember when a dream appears
You belong to me
I'll be so alone without you
Maybe you'll be lonesome too... and blue
Fly the ocean in a silver plane
See the jungle when it's wet with rain
Just remember till you're home again
You belong to me
I'll be so alone without you
Maybe you'll be lonesome too... and blue
Fly the ocean in a silver plane
See the jungle when it's wet with rain
Just remember till you're home again
You belong to me"
39,39,39,Positively 4th Street,,"You got a lot of nerve
To say you are my friend
When I was down
You just stood there grinning
You got a lot of nerve
To say you got a helping hand to lend
You just want to be on
The side that’s winning
You say I let you down
You know it’s not like that
If you’re so hurt
Why then don’t you show it?
You say you lost your faith
But that’s not where it’s at
You had no faith to lose
And you know it
I know the reason
That you talk behind my back
I used to be among the crowd
You’re in with
Do you take me for such a fool
To think I’d make contact
With the one who tries to hide
What it don’t know to begin with
You see me on the street
You always act surprised
You say “How are you? Good luck!”
But you don’t mean it
When you know as well as me
You’d rather see me paralyzed
Why don’t you just come out once
And scream it
No, I do not feel that good
When I see the heartbreaks you embrace
If I was a master thief
Perhaps I’d rob them
And now I know you’re dissatisfied
With your position and your place
Don’t you understand
It’s not my problem
I wish that for just one time
You could stand inside my shoes
And just for that one moment
I could be you
Yes, I wish that for just one time
You could stand inside my shoes
You’d know what a drag it is
To see you"
40,40,40,Must Be Santa,,"Who's got a beard that's long and white?
Santa's got a beard that's long and white
Who comes around on a special night?
Santa comes around on a special night
Special Night, beard that's white
Must be Santa
Must be Santa
Must be Santa, Santa Clause
Who wears boots and a suit of red?
Santa wears boots and a suit of red
Who wears a long cap on his head?
Santa wears a long cap on his head
Cap on head, suit that's red
Special night, beard that's white
Must be Santa
Must be Santa
Must be Santa, Santa Clause
Who's got a big red cherry nose?
Santa's got a big red cherry nose
Who laughs this way - ""HO HO HO""?
Santa laughs this way ""HO HO HO""
HO HO HO, cherry nose
Cap on head, suit that's red
Special night, beard that's white
Must be Santa
Must be Santa
Must be Santa, Santa Clause
Who very soon will come our way?
Santa very soon will come our way
Eight little reindeer pull his sleigh?
Santa's little reindeer pull his sleigh
Reindeer sleigh, come our way
HO HO HO, cherry nose
Cap on head, suit that's red
Special night, beard that's white
Must be Santa
Must be Santa
Must be Santa, Santa Clause
Dasher, Dancer, Prancer, Vixen
Eisenhower, Kennedy, Johnson, Nixon
Dasher, Dancer, Prancer, Vixen
Carter, Reagan, Bush and Clinton
Reindeer sleigh, come our way
HO HO HO, cherry nose
Cap on head, suit that's red
Special night, beard that's white
Must be Santa
Must be Santa
Must be Santa, Santa Clause
Must be Santa
Must be Santa
Must be Santa, Santa Clause"
41,41,41,Just Like Tom Thumb’s Blues,,"When you're lost in the rain in Juarez
When it's Easter time too
And your gravity fails
And negativity don't pull you through
Don't put on any airs
When you're down on Rue Morgue Avenue
They got some hungry women there
And they really make a mess outta you
Now if you see Saint Annie
Please tell her ""Thanks a lot""
I cannot move
My fingers are all in a knot
I don't have the strength
To get up and take another shot
And my best friend, my doctor
Won't even say what it is I've got
Sweet Melinda
The peasants call her the Goddess of Gloom
She speaks good English
And she invites you up into her room
And you're so kind
And careful not to go to her too soon
And she takes your voice
And leaves you howling at the moon
Up on Housing Project Hill
It's either fortune or fame
You must pick one or the other
Though neither of them are to be what they claim
If you're lookin' to get silly
You better go back to from where you came
Because the cops don't need you
And man, they expect the same
Now all the authorities
They just stand around and boast
How they blackmailed the Sergeant-at-Arms
Into leaving his post
And picking up Angel
Who just arrived here from the coast
Who looked so fine at first
But left lookin' just like a ghost
I started out on Burgundy
But soon hit the harder stuff
Everybody said they'd stand behind me
When the game got rough
But the joke was on me
There was nobody even there to bluff
I'm going back to New York City
I do believe I've had enough"
42,42,42,Love Minus Zero/No Limit,,"My love she speaks like silence
Without ideals or violence
She doesn't have to say she's faithful
Yet she's true, like ice, like fire
People carry roses
And make promises by the hours
My love she laughs like the flowers
Valentines can't buy her
In the dime stores and bus stations
People talk of situations
Read books, repeat quotations
Draw conclusions on the wall
Some speak of the future
My love she speaks softly
She knows there's no success like failure
And that failure's no success at all
The cloak and dagger dangles
Madams light the candles
In ceremonies of the horsemen
Even a pawn must hold a grudge
Statues made of match sticks
Crumble into one another
My love winks, she does not bother
She knows too much to argue or to judge
The bridge at midnight trembles
The country doctor rambles
Bankers' nieces seek perfection
Expecting all the gifts that wise men bring
The wind howls like a hammer
The night blows rainy
My love she's like some raven
At my window with a broken wing"
43,43,43,Pay in Blood,,"Well I'm grinding my life out, steady and sure
Nothing more wretched than what I must endure
I'm drenched in the light that shines from the sun
I could stone you to death for the wrongs that you done
Sooner or later you make a mistake
I'll put you in a chain that you never will break
Legs and arms and body and bone
I pay in blood, but not my own
Night after night, day after day
They strip your useless hopes away
The more I take the more I give
The more I die the more I live
I got something in my pocket make your eyeballs swim
I got dogs could tear you limb from limb
I'm circling around the Southern Zone
I pay in blood, but not my own
Low cards are what I've got
But I'll play this hand whether I like it or not
I'm sworn to uphold the laws of God
You could put me out in front of a firing squad
I've been out and around with the rowdy men
Just like you, my handsome friend
My head's so hard, must be made of stone
I pay in blood, but not my own
Another politician pumping out the piss
Another angry beggar blowing you a kiss
You got the same eyes that your mother does
If only you could prove who your father was
Someone must have slipped a drug in your wine
You gulped it down and you cross the line
Man can't live by bread alone
I pay in blood, but not my own
How I made it back home, nobody knows
Or how I survived so many blows
I've been through hell, what good did it do?
You bastard! I'm suppose to respect you?
I'll give you justice, I'll fatten your purse
Show me your moral virtues first
Hear me holler and hear me moan
I pay in blood but not my own
You pet your lover in the bed
Come here, I'll break your lousy head
Our nation must be saved and freed
You've been accused of murder, how do you plead?
This is how I spend my days
I came to bury, not to praise
I'll drink my fill and sleep alone
I pay in blood, but not my own"
44,44,44,You’re Gonna Make Me Lonesome When You Go,,"I’ve seen love go by my door
It’s never been this close before
Never been so easy or so slow
I've been shooting in the dark too long
When something’s not right, it’s wrong
You're gonna make me lonesome when you go
Dragon clouds so high above
I’ve only known careless love
It always just hit me from below
But this time 'round it’s more correct
Right on target, so direct
You're gonna make me lonesome when you go
Purple clover, Queen Anne's lace
Crimson hair across your face
You could make me cry, if you don’t know
Can’t remember what I was thinking of
You might be spoilin’ me too much, love
You're gonna make me lonesome when you go
Flowers on the hillside blooming crazy
Crickets talking back and forth in rhyme
Blue river running slow and lazy
I could stay with you forever and never realize the time
Situations have ended sad
Relationships have all been bad
Mine’ve been like Verlaine’s and Rimbaud
But there’s no way I can compare
All them scenes to this affair
You're gonna make me lonesome when you go
You're gonna make me wonder what I’m doin’
Staying far behind without you
You're gonna make me wonder what I’m sayin’
You're gonna make me give myself a good talking-to
I’ll look for you in old Honolulu
San Francisco or Ashtabula
You're gonna have to leave me now, I know
But I’ll see you in the sky above
In the tall grass, in the ones I love
You're gonna make me lonesome when you go"
45,45,45,Sad-Eyed Lady of the Lowlands,,"With your mercury mouth in the missionary times
And your eyes like smoke and your prayers like rhymes
And your silver cross, and your voice like chimes
Oh, who do they think could bury you?
With your pockets well protected at last
And your streetcar visions which ya' place on the grass
And your flesh like silk, and your face like glass
Who could they get to carry you?
Sad-eyed lady of the lowlands
Where the sad-eyed prophet say that no man comes
My warehouse eyes, my Arabian drums
Should I put them by your gate
Or, sad-eyed lady, should I wait?
With your sheets like metal and your belt like lace
And your deck of cards missing the jack and the ace
And your basement clothes and your hollow face
Who among them can think he could outguess you?
With your silhouette when the sunlight dims
Into your eyes where the moonlight swims
And your matchbook songs and your gypsy hymns
Who among them would try to impress you?
Sad-eyed lady of the lowlands
Where the sad-eyed prophet say that no man comes
My warehouse eyes, my Arabian drums
Should I put them by your gate
Or, sad-eyed lady, should I wait?
The kings of Tyrus with their convict list
Are waiting in line for their geranium kiss
And ya' wouldn’t know it woulda' happened like this
But a'who among them really wants just to kiss you?
With your childhood flames on your midnight rug
And your Spanish manners and your mother’s drugs
And your cowboy mouth and your curfew plugs
Who among them do ya' think could resist you?
Sad-eyed lady of the lowlands
Where the sad-eyed prophet say that no man comes
My warehouse eyes, my Arabian drums
Should I leave them by your gate
Or, sad-eyed lady, should I wait?
Oh, the farmers and the businessmen, they all did decide
To show you where the dead angels are that they used to hide
But why did they pick you to sympathize with their side?
How could they ever mistake you?
They wished you’d accepted the blame for the farm
But with the sea at your feet and the phony false alarm
And with the child of the hoodlum wrapped up in your arms
How could they ever have persuaded you?
Sad-eyed lady of the lowlands
Where the sad-eyed prophet say that no man comes
My warehouse eyes, my Arabian drums
Should I leave them by your gate
Or, sad-eyed lady, should I wait?
With your sheet-metal memory of Cannery Row
And your magazine-husband who one day just had to go
And your gentleness now, which you just can’t help but show
Who among them do you think would employ you?
Now you stand with your thief, you’re on his parole
With your holy medallion an' your fingertips now that fold
And your saintlike face and your ghost-like soul
Who among them could ever think it could destroy you?
Sad-eyed lady of the lowlands
Where the sad-eyed prophet say that no man comes
My warehouse eyes, my Arabian drums
Should I leave them by your gate
Or, sad-eyed lady, should I wait?"
46,46,46,"If You See Her, Say Hello",,"If you see her, say hello, she might be in Tangier
She left here last early Spring, is livin' there, I hear
Say for me that I'm all right though things get kind of slow
She might think that I've forgotten her, don't tell her it isn't so
We had a falling out, like lovers often will
And to think of how she left that night, it still brings me a chill
And though our separation, it pierced me to the heart
She still lives inside of me, we've never been apart
If you get close to her, kiss her once for me
Always have respected her for doing what she did and gettin' free
Oh, whatever makes her happy, I won't stand in the way
Though the bitter taste still lingers on from the night I tried to make her stay
I see a lot of people as I make the rounds
And I hear her name here and there as I go from town to town
And I've never gotten used to it, I've just learned to turn it off
Either I'm too sensitive or else I'm gettin' soft
Sundown, yellow moon, I replay the past
I know every scene by heart, they all went by so fast
If she's passin' back this way, I'm not that hard to find
Tell her she can look me up if she's got the time"
47,47,47,She Belongs to Me,,"She's got everything she needs
She's an artist, she don't look back
She's got everything she needs
She's an artist, she don't look back
She can take the dark out of the nighttime
And paint the daytime black
You will start out standing
Proud to steal her anything she sees
You will start out standing
Proud to steal her anything she sees
But you will wind up peeking through her keyhole
Down upon your knees
She never stumbles
She's got no place to fall
She never stumbles
She's got no place to fall
She's nobody's child
The Law can't touch her at all
She wears an Egyptian ring
It sparkles before she speaks
She wears an Egyptian ring
It sparkles before she speaks
She's a hypnotist collector
You are a walking antique
Bow down to her on Sunday
Salute her when her birthday comes
Bow down to her on Sunday
Salute her when her birthday comes
For Halloween buy her a trumpet
And for Christmas get her a drum"
48,48,48,Scarlet Town,,"In Scarlet Town, where I was born
There’s ivy leaf and silver thorn
The streets have names that you can’t pronounce
Gold is down to a quarter of an ounce
The music starts and the people sway
Everybody says, “Are you going my way?""
Uncle Tom still working' for Uncle Bill
Scarlet Town is under the hill
Scarlet Town in the month of May
Sweet William Holme on his deathbed lay
Mistress Mary by the side of the bed
Kissing' his face and putting' prayers on his head
So brave and true, so gentle is he
I’ll weep for him as he would weep for me
Little Boy Blue come blow your horn
In Scarlet Town, where I was born
Scarlet Town, in the hot noon hours
There’s palm-leaf shadows and scattered flowers
Beggars crouching at the gate
Help comes, but it comes too late
By marble slabs and in fields of stone
You make your humble wishes known
I touched the garment, but the hem was torn
In Scarlet Town, where I was born
In Scarlet Town, the end is near
The Seven Wonders of the World are here
The evil and the good living' side by side
All human forms seem glorified
Put your heart on a platter and see who will bite
See who will hold you and kiss you good night
There’s walnut groves and maplewood
In Scarlet Town crying' won’t do no good
In Scarlet Town, you fight your father’s foes
Up on the hill, a chilly wind blows
You fight ‘em on high and you fight 'em down in
You fight 'em with whiskey, morphine and gin
You’ve got legs that can drive men mad
A lot of things we didn’t do that I wish we had
In Scarlet Town, the sky is clear
You’ll wish to God that you stayed right here
Set ‘em Joe, play “Walking the Floor""
Play it for my flat-chested junkie whore
I’m staying up late, I’m making amends
While we smile, all heaven descends
If love is a sin, then beauty is a crime
All things are beautiful in their time
The black and the white, the yellow and the brown
It’s all right there in front of you in Scarlet Town"
49,49,49,Sara,,"I laid on a dune, I looked at the sky
When the children were babies and played on the beach
You came up behind me, I saw you go by
You were always so close and still within reach
Sara, Sara
Whatever made you want to change your mind?
Sara, Sara
So easy to look at, so hard to define
I can still see them playing with their pails in the sand
They run to the water their buckets to fill
I can still see the shells falling out of their hands
As they follow each other back up the hill
Sara, Sara
Sweet virgin angel, sweet love of my life
Sara, Sara
Radiant jewel, mystical wife
Sleeping in the woods by a fire in the night
Drinking white rum in a Portugal bar
Them playing leapfrog and hearing about Snow White
You in the marketplace in Savanna-la-Mar
Sara, Sara
It’s all so clear, I could never forget
Sara, Sara
Loving you is the one thing I’ll never regret
I can still hear the sounds of those Methodist bells
I’d taken the cure and had just gotten through
Staying up for days in the Chelsea Hotel
Writing “Sad Eyed Lady of the Lowlands” for you
Sara, Sara
Wherever we travel we’re never apart
Sara, oh Sara
Beautiful lady, so dear to my heart
How did I meet you? I don’t know
A messenger sent me in a tropical storm
You were there in the winter, moonlight on the snow
And on Lily Pond Lane when the weather was warm
Sara, oh Sara
Scorpio Sphinx in a calico dress
Sara, Sara
You must forgive me my unworthiness
Now the beach is deserted except for some kelp
And a piece of an old ship that lies on the shore
You always responded when I needed your help
You give me a map and a key to your door
Sara, oh Sara
Glamorous nymph with an arrow and bow
Sara, oh Sara
Don’t ever leave me, don’t ever go"
